"devMac","devName","devOwner","devType","devVendor","devFavorite","devGroup","devComments","devFirstConnection","devLastConnection","devLastIP","devPrimaryIPv4","devPrimaryIPv6","devVlan","devForceStatus","devStaticIP","devScan","devLogEvents","devAlertEvents","devAlertDown","devSkipRepeated","devLastNotification","devPresentLastScan","devIsNew","devLocation","devIsArchived","devParentMAC","devParentPort","devParentRelType","devIcon","devGUID","devSite","devSSID","devSyncHubNode","devSourcePlugin","devFQDN","devMacSource","devNameSource","devFQDNSource","devLastIPSource","devVendorSource","devSSIDSource","devParentMACSource","devParentPortSource","devParentRelTypeSource","devVlanSource","devCustomProps","devReqNicsOnline","devCanSleep"
"fa:ce:2f:5a:55:cf","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.1.2","192.168.1.2","","None","None","0","1","1","1","0","0","2026-07-18 02:44:56","1","1","","0","","","[]","","d22b19c3-580a-4308-9dd6-eaa8e48b2c35","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:98:5a:7f:b1","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.1.3","192.168.1.3","","None","None","0","1","1","1","0","0","2026-07-18 18:28:46","1","1","","0","","","[]","","a9d13074-1dc6-4444-87ec-701aa5bf7b7e","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:54:59:96:96","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.1.4","192.168.1.4","","None","None","0","1","1","1","0","0","2026-07-18 02:44:56","1","1","","0","","","[]","","bf8d5f34-56b6-4b3d-b9ee-49ee20f27eb0","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:28:8e:b9:54","TRUENAS","","Server","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.1.7","192.168.1.7","","None","None","0","1","1","1","0","0","2026-07-18 19:45:57","1","1","","0","","","[]","PGkgY2xhc3M9ImZhIGZhLXNlcnZlciI+PC9pPg==","ebc5b01e-ab78-4cb6-8980-8558cc56b981","","","NAX-d884006e","NMAPDEV","TRUENAS","NMAPDEV","NBTSCAN","NBTSCAN","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:bd:0d:22:78","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.20.1","192.168.20.1","","None","None","0","1","1","1","0","0","2026-07-19 00:16:00","1","1","","0","","","[]","","bb7fb3c1-be22-468e-9d53-ebe9a08297af","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:04:62:71:e1","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.20.101","192.168.20.101","","None","None","0","1","1","1","0","0","2026-07-18 02:44:56","1","1","","0","","","[]","","8e31fb2f-5ec8-47d8-8dc3-3de28f15f4ba","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:72:13:e6:81","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.20.105","192.168.20.105","","None","None","0","1","1","1","0","0","2026-07-18 02:44:56","1","1","","0","","","[]","","6ae036ef-cf87-45e0-b6e2-2e8182f80dc5","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:60:44:d6:6f","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.20.115","192.168.20.115","","None","None","0","1","1","1","0","0","2026-07-18 02:44:56","1","1","","0","","","[]","","115e4f61-ae75-41b6-af9a-a9e7e96378b4","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","PIHOLEAPI","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:96:ed:00:29","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.20.120","192.168.20.120","","None","None","0","1","1","1","0","0","2026-07-18 02:44:56","1","1","","0","","","[]","","fb2fa254-baf0-4560-a2d6-2a791938492d","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:9c:e2:7c:22","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.20.125","192.168.20.125","","None","None","0","1","1","1","0","0","2026-07-18 02:44:56","1","1","","0","","","[]","","fd039ef3-6883-418e-b2c5-64fe99c77eec","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:2f:cb:6e:14","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.20.30","192.168.20.30","","None","None","0","1","1","1","0","0","2026-07-18 02:44:56","1","1","","0","","","[]","","fdd508d4-b680-47be-9e99-637b55feae8d","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:67:d9:c1:68","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.20.31","192.168.20.31","","None","None","0","1","1","1","0","0","2026-07-18 02:44:56","1","1","","0","","","[]","","2c949177-1a4e-4c5f-8be0-448fc2a07054","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:5f:0d:c8:c5","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.20.32","192.168.20.32","","None","None","0","1","1","1","0","0","2026-07-18 02:44:56","1","1","","0","","","[]","","f1f372c6-263d-4066-a029-2c9c5defac52","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:71:13:3c:48","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.20.33","192.168.20.33","","None","None","0","1","1","1","0","0","2026-07-18 02:44:56","1","1","","0","","","[]","","6db05682-1f1a-4c37-b416-aa95ca62cfdc","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
